MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
55663.75,230,9.9,1.4,n,SMA,"Berger et al.2012, Zauderer et al.2011-nature"
55664.048,5,3.96,0.2,n,EVN/VLBI,Yang et al.2016
55664.15,15.4,8.62,0.4,n,AMI-LA,"Berger et al.2012, Zauderer et al.2011-nature"
55664.75,200,14.1,1.5,n,SMA,"Berger et al.2012, Zauderer et al.2011-nature"
55665.23,15.4,10.04,0.63,n,AMI-LA,"Berger et al.2012, Zauderer et al.2011-nature"
55665.74,230,8.2,1.4,n,SMA,"Berger et al.2012, Zauderer et al.2011-nature"
55666.35,15,10.54,0.93,n,OVRO40,Zauderer et al.2011-nature
55666.75,230,8.3,2.2,n,SMA,"Berger et al.2012, Zauderer et al.2011-nature"
55667.28,15.4,10.91,0.89,n,AMI-LA,"Berger et al.2012, Zauderer et al.2011-nature"
55667.39,19.1,12.01,0.03,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55667.39,24.4,12.69,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55667.6,94,10.7,1,n,CARMA,Zauderer et al.2011-nature
55667.61,87,11.7,1.74,n,CARMA,"Berger et al.2012, Zauderer et al.2011-nature"
55668.111,4.8,2.893,0.02,n,WSRT,Wiersema et al.2012
55668.26,15.4,11.01,0.77,n,AMI-LA,"Berger et al.2012, Zauderer et al.2011-nature"
55668.28,4.9,2.1,0.01,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55668.28,6.7,3.44,0.01,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55669.82,200,10.7,1,n,SMA,"Berger et al.2012, Zauderer et al.2011-nature"
55670.33,15,11.99,1.03,n,OVRO40,Zauderer et al.2011-nature
55670.62,87,16.95,3.48,n,CARMA,"Berger et al.2012, Zauderer et al.2011-nature"
55670.88,15.4,10.28,0.58,n,AMI-LA,Berger et al.2012
55671.74,200,7.4,1,n,SMA,Zauderer et al.2011-nature
55672.24,15.4,11.36,0.8,n,AMI-LA,Berger et al.2012
55672.36,15,9.55,1.04,n,OVRO40,Zauderer et al.2011-nature
55676.95,15.4,11.24,0.41,n,AMI-LA,Berger et al.2012
55677.24,19.1,13.5,0.05,n,EVLA,Berger et al.2012
55677.24,24.4,13.8,0.06,n,EVLA,Berger et al.2012
55679.11,15.4,12.14,0.16,n,AMI-LA,Berger et al.2012
55680.29,15.4,11.89,0.25,n,AMI-LA,Berger et al.2012
55681.21,15.4,13.39,0.49,n,AMI-LA,Berger et al.2012
55681.36,4.9,4.62,0.02,n,EVLA,Berger et al.2012
55681.36,6.7,6.39,0.02,n,EVLA,Berger et al.2012
55681.36,19.1,13.97,0.05,n,EVLA,Berger et al.2012
55681.36,24.4,14.95,0.05,n,EVLA,Berger et al.2012
55682.99,15.4,13.63,0.45,n,AMI-LA,Berger et al.2012
55684.1,15.4,13.72,0.39,n,AMI-LA,Berger et al.2012
55685.28,15.4,10.8,0.91,n,AMI-LA,Berger et al.2012
55686.17,15.4,13.38,0.4,n,AMI-LA,Berger et al.2012
55687.19,15.4,13.64,0.21,n,AMI-LA,Berger et al.2012
55687.91742,4.8,5.877,0.028,n,WSRT,Wiersema et al.2012
55687.94042,1.4,0.523,0.078,n,WSRT,Wiersema et al.2012
55689.13,15.4,14.21,1.24,n,AMI-LA,Berger et al.2012
55691.24,15.4,12.33,0.37,n,AMI-LA,Berger et al.2012
55694.19,15.4,14.06,0.41,n,AMI-LA,Berger et al.2012
55695.14,15.4,13.94,0.05,n,AMI-LA,Berger et al.2012
55696.04,15.4,14.39,0.25,n,AMI-LA,Berger et al.2012
55696.15,4.9,4.84,0.03,n,EVLA,Berger et al.2012
55696.15,6.7,5.7,0.02,n,EVLA,Berger et al.2012
55696.15,19.1,17.11,0.06,n,EVLA,Berger et al.2012
55696.15,24.4,18.3,0.06,n,EVLA,Berger et al.2012
55698.89,15.4,15.94,0.59,n,AMI-LA,Berger et al.2012
55701.12,15.4,15.28,0.33,n,AMI-LA,Berger et al.2012
55702.02,15.4,17.91,0.07,n,AMI-LA,Berger et al.2012
55705.86742,4.8,6.209,0.032,n,WSRT,Wiersema et al.2012
