MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
56227.81,4.9,8.9,0.03,n,JVLA,Zauderer et al.2013
56227.81,6.7,8.18,0.02,n,JVLA,Zauderer et al.2013
56237.6,15.4,4.51,0.27,n,AMI-LA,Zauderer et al.2013
56284.5,19.2,3.17,0.03,n,JVLA,Eftekhari et al.2018
56284.5,24.5,2.52,0.03,n,JVLA,Eftekhari et al.2018
56284.5,30,1.88,0.09,n,JVLA,Eftekhari et al.2018
56284.5,37,1.53,0.11,n,JVLA,Eftekhari et al.2018
56290.5,4.9,8.24,0.05,n,JVLA,Eftekhari et al.2018
56290.5,7.1,6.91,0.06,n,JVLA,Eftekhari et al.2018
56296.6,2.6,7.98,0.05,n,JVLA,Eftekhari et al.2018
56296.6,3.4,8.78,0.04,n,JVLA,Eftekhari et al.2018
56296.6,4.9,8.63,0.05,n,JVLA,Eftekhari et al.2018
56296.6,7.1,7.19,0.05,n,JVLA,Eftekhari et al.2018
56296.6,8.5,5.99,0.06,n,JVLA,Eftekhari et al.2018
56296.6,10.9,5.05,0.06,n,JVLA,Eftekhari et al.2018
56348.307,5,6.36,0.32,n,EVN/VLBI,Yang et al.2016
56433.1,1.8,2.4,0.09,n,JVLA,Eftekhari et al.2018
56433.1,4.9,6.23,0.18,n,JVLA,Eftekhari et al.2018
56433.1,7.1,5.18,0.16,n,JVLA,Eftekhari et al.2018
56433.1,19.2,2.4,0.03,n,JVLA,Eftekhari et al.2018
56433.1,24.5,1.88,0.03,n,JVLA,Eftekhari et al.2018
56586.526,5,4.16,0.21,n,EVN/VLBI,Yang et al.2016
56674.5,8.5,3.13,0.02,n,JVLA,Eftekhari et al.2018
56674.5,10.9,2.56,0.03,n,JVLA,Eftekhari et al.2018
56674.5,13.5,2.05,0.03,n,JVLA,Eftekhari et al.2018
56674.5,14.5,1.92,0.02,n,JVLA,Eftekhari et al.2018
56674.5,19.2,1.44,0.02,n,JVLA,Eftekhari et al.2018
56674.5,24.5,1.15,0.02,n,JVLA,Eftekhari et al.2018
56677.5,1.6,3.27,0.1,n,JVLA,Eftekhari et al.2018
56677.5,4.9,4.21,0.02,n,JVLA,Eftekhari et al.2018
56677.5,7.1,3.43,0.03,n,JVLA,Eftekhari et al.2018
56738.5,19.2,1.16,0.04,n,JVLA,Eftekhari et al.2018
56738.5,24.5,0.92,0.07,n,JVLA,Eftekhari et al.2018
56750.5,1.3,1.85,0.12,n,JVLA,Eftekhari et al.2018
56750.5,1.6,2.85,0.12,n,JVLA,Eftekhari et al.2018
56750.5,2.6,4.05,0.08,n,JVLA,Eftekhari et al.2018
56750.5,3.4,3.97,0.08,n,JVLA,Eftekhari et al.2018
56750.5,4.9,3.52,0.05,n,JVLA,Eftekhari et al.2018
56750.5,7.1,2.64,0.06,n,JVLA,Eftekhari et al.2018
56996.5,10.9,1.2,0.06,n,JVLA,Eftekhari et al.2018
56996.5,19.2,0.73,0.04,n,JVLA,Eftekhari et al.2018
57018.5,1.6,1.93,0.1,n,JVLA,Eftekhari et al.2018
57018.5,2.6,2.76,0.19,n,JVLA,Eftekhari et al.2018
57018.5,3.4,2.65,0.18,n,JVLA,Eftekhari et al.2018
57018.5,4.9,2.34,0.05,n,JVLA,Eftekhari et al.2018
57018.5,7.1,1.82,0.04,n,JVLA,Eftekhari et al.2018
57018.5,8.5,1.48,0.05,n,JVLA,Eftekhari et al.2018
57090.255,5,1.64,0.08,n,EVN/VLBI,Yang et al.2016
57535.5,19.2,0.45,0.05,n,JVLA,Eftekhari et al.2018
57535.5,24.5,0.37,0.06,n,JVLA,Eftekhari et al.2018
57539.5,1.4,1.94,0.11,n,JVLA,Eftekhari et al.2018
57539.5,1.6,2.17,0.07,n,JVLA,Eftekhari et al.2018
57539.5,2.6,2.08,0.03,n,JVLA,Eftekhari et al.2018
57539.5,3.4,1.88,0.02,n,JVLA,Eftekhari et al.2018
57539.5,4.9,1.47,0.02,n,JVLA,Eftekhari et al.2018
57539.5,7.1,1.15,0.02,n,JVLA,Eftekhari et al.2018
57539.5,8.5,0.93,0.02,n,JVLA,Eftekhari et al.2018
57539.5,10.9,0.76,0.03,n,JVLA,Eftekhari et al.2018
58033.5,3,1.2,0.2,n,VLA,Cendes et al.2021
58138.5,0.35,2.5,,y,VLA,Cendes et al.2021
58138.5,1.5,1.04,0.06,n,VLA,Cendes et al.2021
58138.5,2.6,1.39,0.03,n,VLA,Cendes et al.2021
58138.5,3.4,1.29,0.03,n,VLA,Cendes et al.2021
58138.5,6,0.84,0.01,n,VLA,Cendes et al.2021
58138.5,9.8,0.53,0.01,n,VLA,Cendes et al.2021
58138.5,14.7,0.34,0.01,n,VLA,Cendes et al.2021
58138.5,21.8,0.22,0.01,n,VLA,Cendes et al.2021
58440.5,1.5,0.3,,y,VLA,Cendes et al.2021
58440.5,3,0.97,0.03,n,VLA,Cendes et al.2021
58440.5,6,0.6,0.01,n,VLA,Cendes et al.2021
58440.5,9.8,0.4,0.02,n,VLA,Cendes et al.2021
58440.5,14.7,0.25,0.01,n,VLA,Cendes et al.2021
58440.5,21.8,0.16,0.03,n,VLA,Cendes et al.2021
59079.5,3,0.3,0.2,n,VLA,Cendes et al.2021
