UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2022 Nov 9,6,0.026,0.006,n,VLA,Cendes et al.2024
2022 Dec 10,6,0.053,0.012,n,VLA,Cendes et al.2024
