UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2020 Oct 16,15,0.224,0.009,n,VLA,Cendes et al.2024
2021 Feb 10,6,0.376,0.01,n,VLA,Cendes et al.2024
2021 Feb 28,6,0.37,0.01,n,VLA,Cendes et al.2024
2022 Nov 13,6,0.366,0.019,n,VLA,Cendes et al.2024
