MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
59641.8,8.5,0.17,0.012,n,VLA,Andreoni et al.2022
59641.8,9.5,0.22,0.011,n,VLA,Andreoni et al.2022
59641.8,10.5,0.234,0.013,n,VLA,Andreoni et al.2022
59641.8,11.5,0.299,0.014,n,VLA,Andreoni et al.2022
59641.8,12.8,0.381,0.013,n,VLA,Andreoni et al.2022
59641.8,14.3,0.483,0.012,n,VLA,Andreoni et al.2022
59641.8,15.8,0.587,0.015,n,VLA,Andreoni et al.2022
59641.8,17.4,0.684,0.016,n,VLA,Andreoni et al.2022
59643.96,225,3.243,0.93,n,SMA,Andreoni et al.2022
59647.53,86,4.549,0.074,n,NOEMA,Andreoni et al.2022
59647.53,102,4.661,0.076,n,NOEMA,Andreoni et al.2022
59650.02,225,2.712,0.86,n,SMA,Andreoni et al.2022
59651.54,0.402,0.0987,0.0329,y,uGMRT,Andreoni et al.2022
59662.48,86,3.914,0.03,n,NOEMA,Andreoni et al.2022
59662.48,102,3.609,0.034,n,NOEMA,Andreoni et al.2022
59662.56,1.264,0.0477,0.0159,y,uGMRT,Andreoni et al.2022
59662.58,136,3.045,0.041,n,NOEMA,Andreoni et al.2022
59662.58,152,2.75,0.051,n,NOEMA,Andreoni et al.2022
59663.53,0.75,0.0678,0.0226,y,uGMRT,Andreoni et al.2022
59668.73,31.4,2.13,0.03,n,VLA,Andreoni et al.2022
59668.73,33.5,2.26,0.03,n,VLA,Andreoni et al.2022
59668.73,35.6,2.35,0.04,n,VLA,Andreoni et al.2022
59668.73,37.5,2.36,0.04,n,VLA,Andreoni et al.2022
59668.73,8.5,0.27,0.012,n,VLA,Andreoni et al.2022
59668.73,9.5,0.336,0.011,n,VLA,Andreoni et al.2022
59668.73,10.5,0.385,0.012,n,VLA,Andreoni et al.2022
59668.73,11.5,0.438,0.014,n,VLA,Andreoni et al.2022
59668.74,12.8,0.583,0.012,n,VLA,Andreoni et al.2022
59668.74,14.3,0.724,0.012,n,VLA,Andreoni et al.2022
59668.74,15.9,0.801,0.014,n,VLA,Andreoni et al.2022
59668.74,17.4,0.935,0.015,n,VLA,Andreoni et al.2022
59625.073,10,0.06,0.02,n,VLA,GCN 31592(Pasham et al.2023)
59636.25,33.5,1.6,0.1,n,ATCA,GCN 31665(Pasham et al.2023)
59636.55,24.9,1.09,0.06,n,VLA,Pasham et al.2023
59636.55,23,0.96,0.04,n,VLA,Pasham et al.2023
59636.55,21,0.88,0.05,n,VLA,Pasham et al.2023
59636.55,19.1,0.67,0.05,n,VLA,Pasham et al.2023
59636.55,17,0.54,0.03,n,VLA,Pasham et al.2023
59636.55,15,0.43,0.03,n,VLA,Pasham et al.2023
59636.55,13,0.31,0.02,n,VLA,Pasham et al.2023
59636.55,11,0.24,0.02,n,VLA,Pasham et al.2023
59636.55,9,0.15,0.02,n,VLA,Pasham et al.2023
59636.55,7,0.12,0.03,n,VLA,Pasham et al.2023
59636.55,5,0.08,0.03,n,VLA,Pasham et al.2023
59636.8441,90,3.7,0.4,n,GBT,GCN 15269(Pasham et al.2023)
59637.55,1.3,0.11,0.04,y,eMERLIN,Pasham et al.2023
59645.49,5,0.05,0.02,y,eMERLIN,Pasham et al.2023
59646.1,1.3,0.14,0.05,y,eMERLIN,Pasham et al.2023
59660.44,4.94,0.05,0.01,n,EVN,Pasham et al.2023
