UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2024/4/5,5,0.456,0.037,n,ATCA,Goodwin et al.2025
2024/4/5,5.5,0.46,0.028,n,ATCA,Goodwin et al.2025
2024/4/5,6,0.391,0.039,n,ATCA,Goodwin et al.2025
2024/4/5,8.5,0.132,0.033,n,ATCA,Goodwin et al.2025
2024/4/5,9,0.263,0.022,n,ATCA,Goodwin et al.2025
2024/4/5,9.5,0.164,0.038,n,ATCA,Goodwin et al.2025
2024/10/14,5,0.313,0.018,n,ATCA,Goodwin et al.2025
2024/10/14,5.5,0.291,0.012,n,ATCA,Goodwin et al.2025
2024/10/14,6,0.277,0.016,n,ATCA,Goodwin et al.2025
2024/10/14,8.5,0.223,0.015,n,ATCA,Goodwin et al.2025
2024/10/14,9,0.199,0.01,n,ATCA,Goodwin et al.2025
2024/10/14,9.5,0.179,0.014,n,ATCA,Goodwin et al.2025
2019/5/7,0.89,1.33,0.22,n,ASKAP RACS,Goodwin et al.2025
2020/3/28,0.89,0.989,0.251,n,ASKAP RACS,Goodwin et al.2025
2021/1/6,1.37,0.952,0.167,n,ASKAP RACS,Goodwin et al.2025
2024/1/21,0.89,1.17,0.15,n,ASKAP RACS,Goodwin et al.2025
