UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2015 January 30,5.5,0.076,0.015,n,ATCA,Brown et al.2017
2015 January 30,9,0.07,0.029,n,ATCA,Brown et al.2017
2016 May 11–16(14),5.5,0.07,0.011,n,ATCA,Brown et al.2017
2016 May 11–16(14),9,0.054,,y,ATCA,Brown et al.2017
